Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"'Mazing Man",1,"""Y'know, after a long hard day...""",Comedy,"1st Printing","DC Comics","Jan 1986",L10,"Jan 1986",1986,,,"""Y'know, after a long hard day...""",,,No,,,,1986,,"'Mazing Man (Sigfried Horatio Hunch III) | Guido | Brenda Valentine","Nansi Hoolahan | Tom Ziuko",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"'Mazing Man",3,"Doing What Married People Do",Comedy,"1st Printing","DC Comics","Mar 1986",L10,"Mar 1986",1986,,,"Doing What Married People Do",,,No,,,,1986,,"Guido | 'Mazing Man (Sigfried Horatio Hunch III) | Brenda Valentine","Nansi Hoolahan",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"'Mazing Man",8,"Over The River And Through The Woods...",Comedy,"1st Printing","DC Comics","Aug 1986",L10,"Aug 1986",1986,,,"Over The River And Through The Woods...",,,No,,,,1986,,"Guido | 'Mazing Man (Sigfried Horatio Hunch III) | Brenda Valentine","Tom Ziuko",,,,,,,"Bob Rozakis | Stephen DeStefano | Karl Kesel","Alan Gold",,"Karl Kesel",,"Bob Lappan",,"Stephen DeStefano",,,,,"Bob Rozakis"
"The 'Nam",2,Dustoff,"Action | Adventure | War","1st Printing","Marvel Comics","Jan 1987",L01,"Jan 1987",1987,,,Dustoff,,,No,,,071486024351,1987,,,,,,,,,,,,,,,,,,,,,,
"The 'Nam",67,"Noon Black As Night","Action | Adventure | War",,"Marvel Comics","Apr 1992",L01,"Apr 1992",1992,,,"Noon Black As Night",,1.75,No,,,,1992,,,,,,,,,,,,,,,,,,,,,,
"The 'Nam",80,"Tet: The Beginning of the End, Part 2: House To House","Action | Adventure | War","1st Printing","Marvel Comics","May 1993",L01,"May 1993",1993,"Tet: The Beginning of the End",,"Part 2: House To House",,,No,,,75960604080308011,1993,,,,,,,,,,,,,,,,,,,,,,
1963,1,"Mayhem on Mystery Mile!",,"1st Printing","Image Comics","Apr 1993",L15,,,,,"Mayhem on Mystery Mile!",,,No,,,,1993,"Rick Veitch | Melinda Gebbie","Planet (Biff Baker) | Kid Dynamo (Tommy Baker) | Neon Queen (Jeannie Morrow)","Rick Veitch",,"Rick Veitch","Dave Gibbons",,"Rick Veitch",,"Alan Moore | Rick Veitch | Melinda Gebbie",,,"Dave Gibbons",,"Don Simpson",,"Rick Veitch",,,,,"Alan Moore"
1963,3,"Tales of the Uncanny: Double-Deal in Dallas!","Action | Adventure | Comedy | Super-Heroes","1st Printing","Image Comics","Jun 1993",L15,"Jun 1993",1993,,,"Tales of the Uncanny: Double-Deal in Dallas!",,1.95,No,,,,1993,"Don Simpson | Melinda Gebbie | Stephen R. Bissette","Hypernaut | Ultimate Special Agent | Red Brain","Rick Veitch | Anthony Tollin",,,"Don Simpson",,"Rick Veitch",,"Alan Moore | Don Simpson | Melinda Gebbie",,,"Don Simpson | Chester Brown",,"Don Simpson | John E. Workman Jr.",,"Rick Veitch | Stephen R. Bissette",,,,,"Alan Moore"
"2099 Unlimited",1A,"Nothing Ever Changes!!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1993",L01,"May 05, 1993",1993,,,"Nothing Ever Changes!!",A,3.95,No,,,75960602354700111,1993,"Dwayne Turner","Spider-Man (2099) (Miguel O'Hara) | Hulk (2099) (John Eisenhart) | Keisha","Tom Smith | Marie Severin","Chris Wozniak",,,,,,"Gerard Jones | Evan Skolnick | Dwayne Turner","Joey Cavalieri",,"Chris Ivy",,"Steve Dutro | Richard Starkings",,"Chris Wozniak",,,,,"Gerard Jones | Evan Skolnick"
"4 Kids Walk Into A Bank",1A,"Chapter One: As Far Back As Lunchtime I Always Wanted To Be a Gangster.",Crime,,"Black Mask Studios","Apr 30, 2016","BC RAW 01","Apr 27, 2016",2016,,,"Chapter One: As Far Back As Lunchtime I Always Wanted To Be a Gangster.",A,3.99,No,,,045778022953,2016,"Tyler Boss",Paige,,"Amancay Nahuelpan | Tyler Boss",,,,,,"Matthew Rosenberg | Tyler Boss",,,,,,,,,,,,"Matthew Rosenberg"
